"Region","District","Trt","mean_diff_all"
"SNNPR","Sankura","All-B",48.2129556791569
"SNNPR","Sankura","All-K",33.0297647881648
"SNNPR","Sankura","All-KSZnB",39.3523490438355
"SNNPR","Sankura","All-N",-8.76616664204222
"SNNPR","Sankura","All-P",14.700694834147
"SNNPR","Sankura","All-S",41.7350926975492
"SNNPR","Sankura","All-Zn",38.8364842894139
"SNNPR","Sankura","Control",-17.0859252370453
"SNNPR","Sankura","recNP+S2",32.4616290284134
"SNNPR","Soro","All",0
"SNNPR","Soro","All-K",3.94758826802112
"SNNPR","Soro","All-KSZnB",1.45990749214417
"SNNPR","Soro","Control",-66.2906844712371
"SNNPR","Wera Dijo","All",0
"SNNPR","Wera Dijo","All-B",-0.697377131458253
"SNNPR","Wera Dijo","All-K",-5.13558815216883
"SNNPR","Wera Dijo","All-KSZnB",-5.30403982572219
"SNNPR","Wera Dijo","All-N",-35.2935173732949
"SNNPR","Wera Dijo","All-P",-16.0017236243076
"SNNPR","Wera Dijo","All-S",-2.27009355161888
"SNNPR","Wera Dijo","All-Zn",-5.45488727290512
"SNNPR","Wera Dijo","Control",-40.4990875870298
"SNNPR","Wera Dijo","recNP+S2",-5.84220405471889
